        SRCID      OBS_ID                   RA                  DEC       EP_8_CTS             NAME
            J         10A                    D                    D              E              15A
                                           deg                  deg          count                 
       118684  0204790101   4.804863790399E-01  -1.543089317707E+01   3.322180E+01              WLM
       118656  0204790101   4.920834217842E-01  -1.546618807616E+01   1.691940E+02              WLM
       118560  0204790101   5.058461186631E-01  -1.550951311464E+01   7.309490E+01              WLM
       118540  0204790101   5.209696135031E-01  -1.541799594613E+01   1.054900E+02              WLM
       122027  0152260101   5.050383298295E+00   5.929912119381E+01   6.960950E+01            IC 10
       122021  0152260101   5.057170134030E+00   5.927394981937E+01   1.681460E+02            IC 10
       122022  0152260101   5.061936569320E+00   5.931469107770E+01   2.535130E+02            IC 10
       122000  0152260101   5.089521057605E+00   5.931714996669E+01   1.388890E+02            IC 10
       120277  0152260101   5.108539144130E+00   5.931233187736E+01   1.642610E+02            IC 10
       120244  0152260101   5.121154745592E+00   5.928091215708E+01   3.044750E+04            IC 10
       120330  0152330101   5.338509704757E+00  -4.864102804815E+01   1.074570E+02           NGC 88
       113974  0204790201   8.215772432764E+00   4.843233982321E+01   3.569860E+01          NGC 147
       114040  0204790201   8.241362117281E+00   4.851697431199E+01   3.559730E+01          NGC 147
       114044  0204790201   8.248290492532E+00   4.845024985061E+01   9.478500E+01          NGC 147
       114052  0204790201   8.260806247948E+00   4.854102632329E+01   4.091490E+01          NGC 147
       114022  0204790201   8.275114989793E+00   4.852633841781E+01   4.710530E+01          NGC 147
       114032  0204790201   8.283325492100E+00   4.841798287770E+01   5.960230E+01          NGC 147
       114246  0204790201   8.303846899595E+00   4.849743762543E+01   3.630200E+01          NGC 147
       114238  0204790201   8.305757140443E+00   4.843652351631E+01   4.464190E+01          NGC 147
       114282  0204790201   8.341822934878E+00   4.855754297301E+01   7.133790E+01          NGC 147
       114267  0204790201   8.352915180757E+00   4.846424181865E+01   5.898900E+01          NGC 147
       114163  0204790201   8.376100046087E+00   4.851388076267E+01   2.964450E+01          NGC 147
       114154  0204790201   8.411369383187E+00   4.856112182122E+01   3.081380E+01          NGC 147
       113227  0200800101   9.413473548716E+00  -3.371373302756E+01   7.148830E+01        A 0035-34
        41140  0200800201   9.426930820983E+00  -3.371374003945E+01   9.504860E+01        A 0035-34
        41140  0200800101   9.426723621587E+00  -3.371390975127E+01   7.899460E+01        A 0035-34
       112841  0652210101   9.625809654139E+00   4.832470781390E+01   1.209250E+02          NGC 185
       112887  0652210101   9.668841686761E+00   4.837538873200E+01   1.435970E+02          NGC 185
       116361  0652210101   9.674809519290E+00   4.834215721365E+01   1.085420E+02          NGC 185
       116368  0652210101   9.677905371538E+00   4.829753750970E+01   9.006090E+01          NGC 185
       116370  0652210101   9.679738544624E+00   4.833260359648E+01   8.593800E+01          NGC 185
        50865  0652210101   9.688844109583E+00   4.826052052687E+01   6.350920E+02          NGC 185
        50865  0204790301   9.687964885595E+00   4.826049933579E+01   7.004610E+01          NGC 185
        50629  0652210101   9.694937662796E+00   4.830759370918E+01   2.468270E+02          NGC 185
        50629  0204790301   9.694965882669E+00   4.830717818610E+01   3.619860E+01          NGC 185
       116413  0652210101   9.704380755294E+00   4.838260822746E+01   8.911430E+01          NGC 185
       116381  0652210101   9.707915474540E+00   4.832017104062E+01   1.029020E+02          NGC 185
       116390  0652210101   9.716998897044E+00   4.828637030044E+01   8.347120E+01          NGC 185
       116290  0652210101   9.729847564987E+00   4.828727348795E+01   2.012940E+02          NGC 185
       116254  0652210101   9.737087087183E+00   4.841742180795E+01   8.475930E+01          NGC 185
       116292  0652210101   9.743530939661E+00   4.842255709830E+01   1.220340E+02          NGC 185
       116316  0652210101   9.745994278281E+00   4.838163146321E+01   1.062640E+02          NGC 185
       116325  0652210101   9.752507466008E+00   4.832158587035E+01   9.477610E+01          NGC 185
       116326  0652210101   9.756835059760E+00   4.832948149727E+01   5.542720E+01          NGC 185
        32643  0652210101   9.760291505021E+00   4.840291287172E+01   8.452000E+03          NGC 185
        32643  0204790301   9.760612113926E+00   4.840301109979E+01   7.352830E+02          NGC 185
       116301  0204790301   9.760506304500E+00   4.842340964714E+01   3.657300E+01          NGC 185
       116295  0652210101   9.761143581268E+00   4.831988062621E+01   1.348470E+02          NGC 185
       116414  0652210101   9.768727369575E+00   4.837894487093E+01   8.932400E+01          NGC 185
       116524  0652210101   9.769532657760E+00   4.829543042601E+01   5.659310E+01          NGC 185
       116505  0652210101   9.780554893877E+00   4.827830097832E+01   1.385100E+02          NGC 185
        44778  0652210101   9.787352360667E+00   4.841155803153E+01   1.632020E+02          NGC 185
        44778  0204790301   9.787074897007E+00   4.841158856053E+01   4.926180E+01          NGC 185
       116536  0652210101   9.795467854810E+00   4.835337470199E+01   9.440130E+01          NGC 185
        54932  0652210101   9.797039411503E+00   4.838125726264E+01   3.387500E+02          NGC 185
       371904  0652210101   9.815805572626E+00   4.833086821781E+01   6.571920E+01          NGC 185
       116550  0652210101   9.827721063790E+00   4.836940189559E+01   6.650860E+01          NGC 185
       116439  0652210101   9.833420555447E+00   4.837829640920E+01   5.670380E+01          NGC 185
       116486  0652210101   9.859356952457E+00   4.836531770069E+01   1.498100E+02          NGC 185
       116018  0203690101   9.891358793134E+00   8.645294315177E-01   1.197400E+02          NGC 201
       116057  0203690101   9.906608292850E+00   8.528682027294E-01   1.548450E+03          NGC 201
       116210  0204790401   9.966591651844E+00   4.175440706162E+01   4.342930E+02          NGC 205
       116183  0204790401   9.978876111727E+00   4.173986792882E+01   2.030830E+02          NGC 205
       116242  0204790401   9.988944743883E+00   4.174333368328E+01   7.341570E+01          NGC 205
       116112  0204790401   1.000579705709E+01   4.175271087209E+01   1.973310E+02          NGC 205
       116146  0204790401   1.004103785503E+01   4.167805412206E+01   2.210080E+02          NGC 205
       116148  0204790401   1.004171141773E+01   4.181681220787E+01   1.271880E+02          NGC 205
       117007  0204790401   1.005065032574E+01   4.155422474208E+01   5.887600E+01          NGC 205
       116989  0204790401   1.005762011418E+01   4.170998639724E+01   4.552950E+01          NGC 205
       117064  0204790401   1.008424696625E+01   4.174706407668E+01   6.863160E+01          NGC 205
       117040  0204790401   1.009165262643E+01   4.183343548954E+01   2.047470E+02          NGC 205
       116918  0204790401   1.011323636708E+01   4.161542487586E+01   8.411300E+01          NGC 205
       116980  0204790401   1.012075824481E+01   4.183025281779E+01   4.369750E+01          NGC 205
       116949  0204790401   1.012715632969E+01   4.169788441998E+01   1.056610E+02          NGC 205
       117156  0204790401   1.015926391452E+01   4.168330384657E+01   3.412920E+02          NGC 205
        49213  0204790401   1.016596296340E+01   4.155116286050E+01   9.533270E+01          NGC 205
        49213  0402560901   1.016635847430E+01   4.155173568428E+01   6.823080E+01          NGC 205
       117227  0402560901   1.017415316004E+01   4.153126739342E+01   4.512630E+01          NGC 205
        50825  0204790401   1.019195868262E+01   4.168052785979E+01   7.606520E+01          NGC 205
        50825  0402560901   1.019118413116E+01   4.168092070901E+01   1.432810E+02          NGC 205
       117094  0204790401   1.019519554182E+01   4.170295779272E+01   4.481860E+01          NGC 205
        50268  0204790401   1.020391782891E+01   4.160919096016E+01   4.094650E+01          NGC 205
